FID,the_geom,District,ID_Muni,Municipali,Longitude,Latitude,Population,Urb_ou_Rur,Pop_total,Services__,Densite_Po,Urb_Rur
population_mada.228,POINT (47.53333333333333 -19.583333333333336),ANTANIFOTSY,114230,AMBODIRIANA,47.533333,-19.583333,19364,,13729,10.2,49.02,Rural
population_mada.229,POINT (47.583333333333336 -19.96666666666667),ANTANIFOTSY,114290,ANTSAMPANDRANO,47.583333,-19.966667,26939,,19100,10.2,68.04,Rural
population_mada.230,POINT (47.75 -19.76666666666667),ANTANIFOTSY,114310,BELANITRA,47.75,-19.766667,15848,,11236,10.2,4368.03,Rural
population_mada.231,POINT (47.550000000000004 -19.183333333333334),ANDRAMASINA,115010,ANDRAMASINA,47.55,-19.183333,17215,,11810,10.2,214.04,Rural
population_mada.232,POINT (47.6 -19.233333333333334),ANDRAMASINA,115031,SABOTSY AMBOHITROMBY,47.6,-19.233333,19092,,13097,10.2,125.54,Rural
population_mada.233,POINT (47.56666666666667 -19.316666666666666),ANDRAMASINA,115032,ANDOHARIANA,47.566667,-19.316667,5295,,3633,10.2,226.83,Rural
population_mada.234,POINT (47.65 -19.15),ANDRAMASINA,115050,MANDROSOA,47.65,-19.15,12895,,8846,10.2,248.16,Rural
population_mada.235,POINT (47.68333333333334 -19.316666666666666),ANDRAMASINA,115070,ALATSINAINY BAKARO,47.683333,-19.316667,32079,,22006,10.2,155.29,Rural
population_mada.236,POINT (47.833333333333336 -19.233333333333334),ANDRAMASINA,115091,AMBOHIMIADANA,47.833333,-19.233333,28352,,19449,10.2,49.13,Rural
population_mada.237,POINT (47.85 -19.383333333333333),ANDRAMASINA,115092,TANKAFATRA,47.85,-19.383333,12288,,8430,10.2,275.01,Rural
population_mada.238,POINT (47.71666666666667 -19.233333333333334),ANDRAMASINA,115110,ALAROBIA VATOSOLA,47.716667,-19.233333,20280,,13912,10.2,68.83,Rural
population_mada.239,POINT (47.733333333333334 -19.400000000000002),ANDRAMASINA,115130,FITSINJOVANA BAKARO,47.733333,-19.4,18157,,12455,10.2,236.16,Rural
population_mada.240,POINT (47.71666666666667 -19.166666666666668),ANDRAMASINA,115150,SABOTSY MANJAKAVAHOAKA,47.716667,-19.166667,12405,,8510,10.2,194.2,Rural
population_mada.241,POINT (47.833333333333336 -19.166666666666668),ANDRAMASINA,115170,ANOSIBE TRIMOLOHARANO,47.833333,-19.166667,13696,,9395,10.2,79.33,Rural
population_mada.242,POINT (47.61666666666667 -19.35),ANDRAMASINA,115190,ANTOTOHAZO,47.616667,-19.35,5273,,3617,10.2,119.85,Rural
population_mada.243,POINT (46.88333333333333 -19.35),FARATSIHO,116010,FARATSIHO,46.883333,-19.35,39553,,28043,10.2,178.31,Rural
population_mada.244,POINT (47.03333333333333 -19.416666666666668),FARATSIHO,116030,ANTSAMPANIMAHAZO,47.033333,-19.416667,18074,,12815,10.2,153.9,Rural
population_mada.245,POINT (47 -19.46666666666667),FARATSIHO,116050,FARAVOHITRA,47,-19.466667,11347,,8045,10.2,103.51,Rural
population_mada.246,POINT (46.96666666666667 -19.3),FARATSIHO,116070,RAMAINANDRO,46.966667,-19.3,21161,,15003,10.2,70.95,Rural
population_mada.247,POINT (46.983333333333334 -19.21666666666667),FARATSIHO,116090,ANDRANOMIADY,46.983333,-19.216667,7478,,5302,10.2,99.3,Rural
population_mada.248,POINT (46.93333333333334 -19.55),FARATSIHO,116110,VINANINONY ATSIMO,46.933333,-19.55,35371,,25078,10.2,151.78,Rural
population_mada.249,POINT (47.11666666666667 -19.400000000000002),FARATSIHO,116130,AMBOHIBORONA,47.116667,-19.4,25430,,18030,10.2,84.72,Rural
population_mada.250,POINT (46.733333333333334 -19.433333333333334),FARATSIHO,116150,MIANDRARIVO,46.733333,-19.433333,39510,,28012,10.2,82.84,Rural
population_mada.251,POINT (46.733333333333334 -19.333333333333336),FARATSIHO,116170,VALABETOKANA,46.733333,-19.333333,10719,,7600,10.2,2467.42,Rural
population_mada.252,POINT (47.45 -18.950000000000003),ANTANANARIVO ATSIMONDRANO,117011,AMPITATAFIKA,47.45,-18.95,51074,,35037,10.2,13575.84,Rural
population_mada.253,POINT (47.483333333333334 -18.933333333333334),ANTANANARIVO ATSIMONDRANO,117012,ANOSIZATO ANDREFANA,47.483333,-18.933333,21293,,14607,10.2,8378.51,Rural
population_mada.254,POINT (47.483333333333334 -18.916666666666668),ANTANANARIVO ATSIMONDRANO,117030,ANDRANONAHOATRA,47.483333,-18.916667,50941,,34946,10.2,23172.79,Rural
population_mada.255,POINT (47.46666666666667 -18.900000000000002),ANTANANARIVO ATSIMONDRANO,117050,AMBOHIDRAPETO,47.466667,-18.9,22996,,15775,10.2,19534.74,Rural
population_mada.256,POINT (47.483333333333334 -18.900000000000002),ANTANANARIVO ATSIMONDRANO,117070,BEMASOANDRO,47.483333,-18.9,49235,,33775,10.2,2556.02,Rural
population_mada.257,POINT (47.46666666666667 -18.883333333333336),ANTANANARIVO ATSIMONDRANO,117090,FIOMBONANA,47.466667,-18.883333,9501,,6518,10.2,3805.54,Rural
population_mada.258,POINT (47.45 -18.900000000000002),ANTANANARIVO ATSIMONDRANO,117110,ITAOSY,47.45,-18.9,19090,,13096,10.2,5320.49,Rural
population_mada.259,POINT (47.45 -18.916666666666668),ANTANANARIVO ATSIMONDRANO,117130,AMBAVAHADITOKANA,47.45,-18.916667,34380,,23585,10.2,10276.01,Rural
population_mada.260,POINT (47.516666666666666 -18.950000000000003),ANTANANARIVO ATSIMONDRANO,117150,TANJOMBATO,47.516667,-18.95,49913,,34240,10.2,4579.71,Rural
population_mada.261,POINT (47.516666666666666 -18.983333333333334),ANTANANARIVO ATSIMONDRANO,117170,ANDOHARANOFOTSY,47.516667,-18.983333,48190,,33058,10.2,13416.51,Rural
population_mada.262,POINT (47.53333333333333 -18.950000000000003),ANTANANARIVO ATSIMONDRANO,117190,ANKARAOBATO,47.533333,-18.95,38716,,26559,10.2,718.28,Rural
population_mada.263,POINT (47.5 -19),ANTANANARIVO ATSIMONDRANO,117210,SOALANDY,47.5,-19,10120,,6942,10.2,263.73,Rural
population_mada.264,POINT (47.483333333333334 -19.066666666666666),ANTANANARIVO ATSIMONDRANO,117230,ANTANETIKELY,47.483333,-19.066667,12825,,8798,10.2,619.98,Rural
population_mada.265,POINT (47.45 -18.96666666666667),ANTANANARIVO ATSIMONDRANO,117250,ALATSINAINY AMBAZAHA,47.45,-18.966667,4516,,3098,10.2,1851.42,Rural
population_mada.266,POINT (47.483333333333334 -18.96666666666667),ANTANANARIVO ATSIMONDRANO,117270,AMPANEFY,47.483333,-18.966667,16923,,11609,10.2,2074.55,Rural
population_mada.267,POINT (47.45 -18.883333333333336),ANTANANARIVO ATSIMONDRANO,117290,ANKADIMANGA,47.45,-18.883333,8797,,6035,10.2,1510.57,Rural
population_mada.268,POINT (47.416666666666664 -18.916666666666668),ANTANANARIVO ATSIMONDRANO,117311,FENOARIVO,47.416667,-18.916667,25425,,17441,10.2,1376.58,Rural
population_mada.269,POINT (47.416666666666664 -18.950000000000003),ANTANANARIVO ATSIMONDRANO,117312,ALAKAMISY FENOARIVO,47.416667,-18.95,19174,,13153,10.2,2680.69,Rural
population_mada.270,POINT (47.483333333333334 -18.950000000000003),ANTANANARIVO ATSIMONDRANO,117330,SOAVINA,47.483333,-18.95,13046,,8950,10.2,630.57,Rural
population_mada.271,POINT (47.550000000000004 -19),ANTANANARIVO ATSIMONDRANO,117350,AMBOHIJANAKA,47.55,-19,15334,,10519,10.2,335.75,Rural
population_mada.272,POINT (47.483333333333334 -19.016666666666666),ANTANANARIVO ATSIMONDRANO,117370,AMPAHITROSY,47.483333,-19.016667,5039,,3457,10.2,932,Rural
population_mada.273,POINT (47.53333333333333 -19.016666666666666),ANTANANARIVO ATSIMONDRANO,117390,BONGATSARA,47.533333,-19.016667,19819,,13596,10.2,373.37,Rural
population_mada.274,POINT (47.45 -19.016666666666666),ANTANANARIVO ATSIMONDRANO,117410,ANDROHIBE,47.45,-19.016667,12190,,8363,10.2,258.08,Rural
population_mada.275,POINT (47.56666666666667 -19.05),ANTANANARIVO ATSIMONDRANO,117430,TSIAFAHY,47.566667,-19.05,15161,,10401,10.2,293.73,Rural
population_mada.276,POINT (47.53333333333333 -19.1),ANTANANARIVO ATSIMONDRANO,117450,AMBALAVAO,47.533333,-19.1,13203,,9057,10.2,202.94,Rural
population_mada.277,POINT (47.6 -19.1),ANTANANARIVO ATSIMONDRANO,117470,AMBATOFAHAVALO,47.6,-19.1,6229,,4273,10.2,275.45,Rural
population_mada.278,POINT (47.03333333333333 -19.733333333333334),ANTSIRABE II,118010,AMBANO,47.033333,-19.733333,41668,,29543,10.2,511.05,Rural
population_mada.279,POINT (46.95 -19.900000000000002),ANTSIRABE II,118030,BELAZAO,46.95,-19.9,15407,,10924,10.2,566.8,Rural
population_mada.280,POINT (46.983333333333334 -19.76666666666667),ANTSIRABE II,118050,ALAKAMISY,46.983333,-19.766667,29845,,21160,10.2,606.63,Rural
population_mada.281,POINT (46.95 -19.833333333333336),ANTSIRABE II,118070,ANTANIMANDRY,46.95,-19.833333,13161,,9331,10.2,180.91,Rural
population_mada.282,POINT (47.03333333333333 -19.96666666666667),ANTSIRABE II,118090,VINANINKARENA,47.033333,-19.966667,12653,,8971,10.2,242.85,Rural
population_mada.283,POINT (47.1 -19.783333333333335),ANTSIRABE II,118110,ANDRANOMANELATRA,47.1,-19.783333,36629,,25970,10.2,209.96,Rural
population_mada.284,POINT (47.15 -19.916666666666668),ANTSIRABE II,118130,AMBOHIDRANANDRIANA,47.15,-19.916667,15879,,11258,10.2,199.63,Rural
population_mada.285,POINT (47.166666666666664 -19.833333333333336),ANTSIRABE II,118150,AMBOHIMIARIVO,47.166667,-19.833333,12708,,9010,10.2,178.75,Rural
population_mada.286,POINT (47.13333333333333 -19.983333333333334),ANTSIRABE II,118170,AMBOHITSIMANOVA,47.133333,-19.983333,27205,,19288,10.2,150.8,Rural
population_mada.287,POINT (46.96666666666667 -19.96666666666667),ANTSIRABE II,118190,MANGARANO,46.966667,-19.966667,11169,,7919,10.2,146.24,Rural
population_mada.288,POINT (47.06666666666667 -20.05),ANTSIRABE II,118210,MANANDONA,47.066667,-20.05,15769,,11180,10.2,156.5,Rural
population_mada.289,POINT (47.15 -19.700000000000003),ANTSIRABE II,118230,ANTSOATANY,47.15,-19.7,12943,,9176,10.2,82.32,Rural
population_mada.290,POINT (46.96666666666667 -20.1),ANTSIRABE II,118250,ALATSINAINY IBITY,46.966667,-20.1,11471,,8133,10.2,68.61,Rural
population_mada.291,POINT (47.083333333333336 -20.116666666666667),ANTSIRABE II,118270,SAHANIVOTRY MANANDONA,47.083333,-20.116667,10944,,7759,10.2,236.76,Rural
population_mada.292,POINT (47.266666666666666 -19.883333333333336),ANTSIRABE II,118290,SOANINDRARINY,47.266667,-19.883333,28983,,20549,10.2,171.64,Rural
population_mada.293,POINT (47.266666666666666 -19.81666666666667),ANTSIRABE II,118310,AMBATOMENA,47.266667,-19.816667,25186,,17857,10.2,324.44,Rural
